primarySlug,longitude,latitude,postalCode
tip-top-burger,4.3401049,50.8607351,1080
pizzeria-modugno,4.3981654,50.845257,1030
gabbiani-reali,4.3533169,50.8454731,1000
jm-sushi-bruxelles-1,4.3581106,50.8448997,1000
thai-chiangmai,4.3710542,50.8359339,1050
deli-liban-1,4.409813,50.8432981,1200
pizza-boom-1,4.3967983,50.8547888,1030
madina-food,4.3752124,50.856793,1030
maki-maki-1,4.3746044,50.8277003,1050
tonton-chami-ixelles,4.3642835,50.8371524,1050
love-ciabatta-bruxelles-1,4.3586131,50.8431461,1000
live-central-park,4.384407,50.8609159,1030
le-rosmarino,4.368485,50.8560184,1210
bella-ciaoo,4.4016108,50.8716439,1140
jardin-asiatique,4.3894082,50.8566804,1030
better-than-hungry,4.3677835,50.8493041,1000
foodminte,4.3706359,50.8362355,1050
sel-et-miel,4.3591525,50.8645165,1000
pizzeria-istanbul-malibran,4.3728027,50.8291519,1050
restaurant-le-royal,4.3780041,50.849752,1210
hatay-kunefe,4.3701779,50.8587167,1030
ozturk,4.3733034,50.8530809,1210
foodmaker-rogier,4.359871,50.8559177,1210
bowlsbe,4.3551554,50.860099,1000
snack-au-petit-creux,4.3850787,50.8518175,1000
gare-des-artistes,4.3504045,50.8572287,1000
otomat-merode,4.3999053,50.8394746,1040
breakpointcolonies,4.359411,50.8466278,1000
restaurant-king-hwa,4.3840211,50.844656,1040
foodmaker-ravenstein,4.3594405,50.8444875,1000
le-gourmet-bruxelles,4.3676808,50.8550672,1210
arts-bagels-etterbeek,4.3754751,50.8436843,1040
dunkin-donuts-1,4.3622942,50.8375935,1050
o-sole-mio-bruxelles-1,4.3548777,50.8587404,1000
osaison,4.3694177,50.8599658,1030
feta-oregano-ixelles,4.3692287,50.8191601,1050
chaba-thai,4.3751083,50.8434248,1040
terracotta-pizze-tapas,4.3887004,50.8366645,1040
o-senegal-vip,4.3671679,50.8365547,1050
gioia-pizza,4.4004911,50.8399803,1040
tekince-cigkofte,4.3664416,50.8634626,1030
the-better-pizza-company,4.3561231,50.8488145,1000
emirda,4.3780666,50.85917,1030
loqqum-restaurant,4.3566464,50.8554669,1000
limor-pizzeria,4.370087,50.8488716,1210
magnum-and-benjerrys-store-schaerbeek,4.3950031,50.8454779,1000
foodmaker-hubert,4.3565748,50.8483183,1000
dunkin-city-2-bruxelles,4.3575088,50.8545204,1000
brasserie-byblos-1898,4.3844626,50.8418397,1040
smashb,4.396094,50.855233,1030
la-table-du-winners,4.3779633,50.8493573,1210
pizza-hoot,4.3913677,50.8756001,1030
la-nuova-piazza-schaerbeek-1,4.3979108,50.8556683,1030
laz-burger,4.3640088,50.8480426,1000
indian-foodism-lounge,4.3732137,50.8477258,1210
saveurs-deden,4.3936543,50.8557188,1030
dunkin-centraal,4.3571035,50.8455447,1000
chickn-choice,4.3569439,50.8542665,1000
le-familial-1,4.3326428,50.863894,1080
street-kap,4.3537965,50.853887,1000
buono-buono-fatto-in-casa,4.3818796,50.8463497,1040
adam-restaurant,4.3760302,50.8570046,1030
cup-pasta-rue-montagn,4.3563846,50.8486241,1000
banh-mi-express-1210,4.3696547,50.8486847,1210
delice-lavenir,4.4099268,50.8430825,1200
los-cubas-bruxelles,4.3803446,50.8378417,1040
sushi-box-ixelles-1,4.3732418,50.8395334,1050
les-4-saisons-schaerbeek,4.3705387,50.8593354,1030
superbowl-lux,4.3673864,50.8404194,1000
spicy-grill,4.3804499,50.8449884,1000
dim-yum,4.3724527,50.8292969,1050
thai-moury-molenbeek,4.338262,50.8544982,1080
chezwawa-royal-1,4.3665933,50.8486631,1000
palermo-pizza,4.3887577,50.847758,1000
afro-luna,4.364873,50.8482155,1000
ayam-baghdad,4.3523913,50.8523294,1000
snack-merode,4.3977664,50.8386936,1040
cankaya-hatay-kunefe,4.3704256,50.8584464,1030
mundo-latino,4.3890065,50.8543184,1030
le-quai-gourmand,4.3511649,50.8630653,1000
essgo-grill,4.3906733,50.8310032,1040
le-pain-quotidien-tongres,4.4011408,50.8403972,1040
the-don-tajine,4.3765691,50.8563228,1030
los-charros-1,4.3511783,50.8528525,1000
pitta-magic,4.3716419,50.8612862,1030
arts-bagels,4.3839793,50.8417934,1040
le-parioli,4.3832748,50.8414076,1040
alba-1,4.3661571,50.8484592,1000
swagat,4.3540107,50.8577512,1000
tadim-kumpir-libano,4.358291,50.8543846,1000
khanna,4.3869094,50.8523634,1030
taste-of-indus,4.3535434,50.8488848,1000
les-delices-de-bruno,4.3620743,50.8386567,1000
food-maker,4.356728,50.8476979,1000
le-sankaran,4.3563596,50.8549067,1000
ornina-syrian-sweets,4.3755381,50.8498888,1210
pizzeria-milano,4.3892963,50.8689998,1030
lala-restaurant,4.3670944,50.8637238,1030
traiteur-liu,4.3875285,50.835876,1040
inzia,4.3657237,50.8360073,1050
bread-breakfast,4.3832087,50.8525193,1030
grillades-panios,4.3751426,50.8502978,1210
le-zinneke,4.3914099,50.8568237,1030
il-convivio,4.3606313,50.8543213,1000
wok-minute,4.3718573,50.8286951,1050
b34,4.3797896,50.8364623,1040
