restaurant_name,menu_item_name,price,description
Huzur Kebab,Pizza vier kazen,16.0,"Gorgonzola, Jonge kaas, Mozzarella en Fetakaas."
Huzur Kebab,Pizza Hacka,16.0,"MaÃ¯s, paprika, champignons en Fetakaas."
Huzur Kebab,Pizza Mozarella,10.0,"Mozzarella, tomaat en basilicum."
Huzur Kebab,Pizza spinazie,10.5,"Spinazie, champignon en Mozarella."
Huzur Kebab,Pizza geel,16.0,"Ham, mais, gehakt en ei."
Huzur Kebab,Pizza pomodori,11.0,"Ui, champignons, schijfjes tomaat en Fetakaas."
Huzur Kebab,Pizza Mexicano,10.0,"Gehakt, mais, olijven en jalapeÃ±os"
Huzur Kebab,Pizza hot shoarma,11.0,"Shoarma, jalapenos, ui en paprika."
Huzur Kebab,Pizza spicy chicken,11.0,"Kip, jalapenos, paprika, ui en maÃ¯s"
Huzur Kebab,Pizza Euro,16.0,"Hesp, salami, gehakt en kebab."
Huzur Kebab,Pizza vegetarisch special,11.5,"Ui ,champignons, paprika, artisjok, olijven en maÃ¯s."
Huzur Kebab,Pizza cocktail,17.0,"Kebab, kip, champignons, paprika en ui."
Huzur Kebab,Pizza broccoli,16.5,"Broccoli, spek, Mozzarella en paprika."
Huzur Kebab,Pizza Atlantica,17.0,"Ansjovis, tonijn, ui en champignon."
Huzur Kebab,Pizza zalmone,17.0,Gerookte zalm en brocoli.
Huzur Kebab,Pizza supreme,13.0,"Rundvlees, ham, ui, champignon, olijven en jalapeÃ±os"
Huzur Kebab,Pizza pesto,11.0,"Pesto, spek, tomaat en Mozzarella."
Huzur Kebab,Pizza Huzur,14.0,Specialiteit van de chef.
Huzur Kebab,Pizza bambino,6.5,Kinder pizza.
Huzur Kebab,Pizza Napolitana,9.5,Olijven en ansjovis.
Huzur Kebab,Pizza tonno,16.0,Tonijn en ui.
Huzur Kebab,Pizza frutti di mare,12.0,Zeevruchten.
Huzur Kebab,Pizza marinara,18.5,"Tonijn, paprika, ui en zeevruchten."
Huzur Kebab,Pizza scampis,12.0,Scampi's en ui.
Huzur Kebab,Pizza quatro stagioni,16.0,"Champignons, paprika, hesp en salami."
Huzur Kebab,Pizza 50/50,12.0,Op elke helft een andere smaak naar keuze.
Huzur Kebab,Pizza Las Vegas,15.0,"Champignons, salami en paprika."
Huzur Kebab,Pizza spinazie,15.5,"Spinazie, champignon en Mozarella."
