restaurant_id,restaurant_name,rating,review_count,longitude,latitude,postalCode,platform,restaurant_id_platform_unique,standardized_city
317497,Venezia del Nord,4.1,41,3.224475,51.201684,8000,deliveroo,deliveroo_317497,Koolkerke
317521,Habesha,4.1,33,3.268586,50.82200049999999,8500,deliveroo,deliveroo_317521,Kortrijk
317638,Pita Piramide Aalst,4.4,54,4.0319657,50.93804249999999,9300,deliveroo,deliveroo_317638,Aalst
317692,Donatello,4.4,99,5.1893253,50.8139845,3800,deliveroo,deliveroo_317692,Zepperen
317935,Boëna-To-Go,4.5,127,4.4018882,51.1749114,2610,deliveroo,deliveroo_317935,Wilrijk
318210,Boulangerie D’anvers,4.0,15,4.4051366,51.2196653,2000,deliveroo,deliveroo_318210,Antwerpen
318349,Wims Deli Gent,0.0,0,3.7201847,51.0523118,9000,deliveroo,deliveroo_318349,Gent
318418,Cup&Cakes Coffeebar,4.0,54,4.3945078,51.2117111,2000,deliveroo,deliveroo_318418,Antwerpen
318469,Amjam grillade,4.0,53,4.2936095,50.86742899999999,1082,deliveroo,deliveroo_318469,Berchem-Sainte-Agathe
318719,Ali Kebab ,4.4,9,3.7012991,51.06086519999999,9000,deliveroo,deliveroo_318719,Gent
319179,Moochie Aalst,4.9,34,4.0384308,50.938876,9300,deliveroo,deliveroo_319179,Aalst
319189,Hawaiian Poké Bowl - Shopping 1,4.6,425,5.504602999999999,50.96487390000001,3600,deliveroo,deliveroo_319189,Genk
319215,Kuala lumpur,4.6,28,4.4184776,51.2182531,2018,deliveroo,deliveroo_319215,Antwerpen
319312,Frituur Pom De Tair,3.9,56,4.1425307,51.1650264,9100,deliveroo,deliveroo_319312,Sint-Niklaas
319545,SushiDaily Cora,0.0,0,4.4278488,50.8566604,1200,deliveroo,deliveroo_319545,Woluwe-Saint-Lambert
319648,King Foo,4.1,38,4.4140616,51.2191244,2000,deliveroo,deliveroo_319648,Antwerpen
320167,Street Box,4.2,143,3.2226075,51.2085448,8000,deliveroo,deliveroo_320167,Koolkerke
320208,Yaki Noodles Bar,4.4,500,3.7310288,51.049207,9000,deliveroo,deliveroo_320208,Gent
320209,Frituur Zuid,3.9,99,3.7310976,51.049253,9000,deliveroo,deliveroo_320209,Gent
320393,Moochie Antwerpen Zuid,4.3,204,4.3962539,51.2110956,2000,deliveroo,deliveroo_320393,Antwerpen
320927,Lavinia,3.7,23,4.7024747,50.8789391,3000,deliveroo,deliveroo_320927,Leuven
320980,THE BAGEL ARMY,4.1,63,4.700201153755188,50.87864525011557,3000,deliveroo,deliveroo_320980,Leuven
320981,De Brasserie,4.1,80,4.700227975845336,50.878641865355405,2000,deliveroo,deliveroo_320981,Antwerpen
320985,THE BAGEL ARMY,4.4,227,3.7338452,51.0486296,9000,deliveroo,deliveroo_320985,Gent
320986,De Brasserie,3.9,102,3.7338452,51.0486296,9000,deliveroo,deliveroo_320986,Gent
320992,THE BAGEL ARMY,4.0,80,4.3968105,51.2108225,2000,deliveroo,deliveroo_320992,Antwerpen
320994,De Brasserie,3.9,109,4.3968105,51.2108225,2000,deliveroo,deliveroo_320994,Antwerpen
321266,Kings boutique,4.3,18,2.9152767,51.23017549999999,8400,deliveroo,deliveroo_321266,Zandvoorde
321388,Uzume Momo (Dumplings),3.5,30,3.7263135,51.03559139999999,9000,deliveroo,deliveroo_321388,Gent
321746,Baraka-Chicken,3.7,83,5.3271163,50.93313800000001,3500,deliveroo,deliveroo_321746,Sint-Lambrechts-Herk
322025,Greek Blue Kitchen,0.0,0,5.4977426,50.9836117,3600,deliveroo,deliveroo_322025,Genk
322026,Green Kitchen ,0.0,0,5.4977426,50.9836117,3600,deliveroo,deliveroo_322026,Genk
322027,Drinks Booze & Sweets,0.0,0,5.4977426,50.9836117,3600,deliveroo,deliveroo_322027,Genk
322028,Fusion Kitchen,0.0,0,5.4977426,50.9836117,3600,deliveroo,deliveroo_322028,Genk
322132,Fusilli,3.8,64,3.7308157,51.04921179999999,9000,deliveroo,deliveroo_322132,Gent
322617,Panos,3.9,92,5.5041278,50.965897,3600,deliveroo,deliveroo_322617,Genk
322623,Panos  ,4.2,500,4.7000861,50.8795487,3000,deliveroo,deliveroo_322623,Leuven
323412,Quick Genk Shopping 1,4.2,500,5.5033135414123535,50.965711193722086,3600,deliveroo,deliveroo_323412,Genk
323491,Restaurant Heritage,0.0,0,3.723523499999999,51.0582375,9000,deliveroo,deliveroo_323491,Gent
323595,Panos Deurne,4.4,260,4.4657935,51.2074563,2100,deliveroo,deliveroo_323595,Deurne
323718,Parazaar,4.6,178,3.271423,50.82766650000001,8500,deliveroo,deliveroo_323718,Kortrijk
323887,Vesper ,4.6,148,3.2718088,50.82790869999999,8500,deliveroo,deliveroo_323887,Kortrijk
324109,Pici Centrum ,4.5,275,4.396247499999999,51.2172039,2000,deliveroo,deliveroo_324109,Antwerpen
324222,Pitta Pizza Kortrijk,3.9,247,3.2646495,50.82519670000001,8500,deliveroo,deliveroo_324222,Kortrijk
324470,Pizza Posto,3.3,6,4.708988199999999,50.8760583,3000,deliveroo,deliveroo_324470,Leuven
324598,Fusion Bites,4.0,23,3.7224373,51.056042,9000,deliveroo,deliveroo_324598,Gent
324599,Himalayan Restaurant OST,4.3,178,2.9058154,51.2113343,8400,deliveroo,deliveroo_324599,Zandvoorde
324615,Takumi Ramen & Yakisoba,4.5,290,4.401021399999999,51.21988030000001,2000,deliveroo,deliveroo_324615,Antwerpen
324618,Ali Baba Vennestraat,3.9,74,5.4917294,50.98023200000001,3600,deliveroo,deliveroo_324618,Genk
324671,Ali Baba Stalenstraat,4.2,95,5.5186852,50.9935238,3600,deliveroo,deliveroo_324671,Genk
324759,Chitir Chicken Genk ,4.0,49,5.5047269,50.9645719,3600,deliveroo,deliveroo_324759,Genk
325024,Pomfritz,4.1,460,4.481997499999999,51.0269719,2800,deliveroo,deliveroo_325024,Walem
325211,Orange-ini,4.3,52,3.7162136,51.05451739999999,9000,deliveroo,deliveroo_325211,Gent
325347,restaurant de koetse,4.1,7,3.2235641,51.20630629999999,8000,deliveroo,deliveroo_325347,Koolkerke
325348,Frietshop Online,3.7,129,3.2691304,50.8197038,8500,deliveroo,deliveroo_325348,Kortrijk
325376,Pizzeria Da Alfonso,4.4,60,5.5156198,50.9919449,3600,deliveroo,deliveroo_325376,Genk
325405,Tota Empanadas 2,4.6,137,4.3985119,51.2201231,2000,deliveroo,deliveroo_325405,Antwerpen
325430,KFC Antwerp,3.7,500,4.4004088,51.2200735,2000,deliveroo,deliveroo_325430,Antwerpen
325584,Pizza Hut Sint Truiden,4.4,263,5.19228994846344,50.81125339482433,3800,deliveroo,deliveroo_325584,Zepperen
326040,San Sushi,4.1,70,3.2231422,51.2100923,8000,deliveroo,deliveroo_326040,Koolkerke
326732,Bouff ,4.4,77,3.120371,50.9703346,8800,deliveroo,deliveroo_326732,Rumbeke
327149,Kings boutique,4.0,267,3.1243064,50.9427561,8800,deliveroo,deliveroo_327149,Rumbeke
327152,Sushi akito,4.0,245,3.723293099999999,51.0530386,9000,deliveroo,deliveroo_327152,Gent
327236,DON TACO.,0.0,0,5.342596299999999,50.92923529999999,3500,deliveroo,deliveroo_327236,Sint-Lambrechts-Herk
328301,Waffle and juice,4.4,37,4.4051274,51.2246525,2000,deliveroo,deliveroo_328301,Antwerpen
329244,Frituur Friturist,4.2,93,4.4447712,51.1951933,2600,deliveroo,deliveroo_329244,Berchem
329359,Den Brandt,4.2,125,4.405569799999999,51.1769423,2610,deliveroo,deliveroo_329359,Wilrijk
330796,Gks express,4.6,333,4.3258944,50.87378100000001,1090,deliveroo,deliveroo_330796,Jette
331756,Sushi Daily Cora Woluwe,3.9,27,4.4278488,50.8566604,1200,deliveroo,deliveroo_331756,Woluwe-Saint-Lambert
331948,Nahm Spirit Restaurant,0.0,0,4.3715043,50.9320342,1850,deliveroo,deliveroo_331948,Grimbergen
332029,Azzurro pizza,4.2,5,4.2950529,50.866148,1082,deliveroo,deliveroo_332029,Berchem-Sainte-Agathe
332152,Rio Grill Burger Restaurant,0.0,0,4.4301812,50.93364219999999,1800,deliveroo,deliveroo_332152,Vilvoorde
332188,Testa Rossi,0.0,0,4.428290000000001,50.9303692,1800,deliveroo,deliveroo_332188,Vilvoorde
332439,Wolfgang,4.5,49,4.7061776,50.8766226,3000,deliveroo,deliveroo_332439,Leuven
332442,Flooh's Homemade Burgers,4.5,51,3.1283141,50.946168,8800,deliveroo,deliveroo_332442,Rumbeke
332517,Hey Joo,4.6,336,3.7241141,51.057992,9000,deliveroo,deliveroo_332517,Gent
332542,Fritapapa,4.4,67,4.399805,50.71153469999999,1410,deliveroo,deliveroo_332542,Waterloo
332919,Panos Lange Lozana,4.4,244,4.407384395599365,51.19831912106437,2018,deliveroo,deliveroo_332919,Antwerpen
333062,Snack du Chef,0.0,0,4.4221315,50.929419,1800,deliveroo,deliveroo_333062,Vilvoorde
333186,Bogaz Kebab,4.4,322,3.1317448,50.94920579999999,8800,deliveroo,deliveroo_333186,Rumbeke
333187,Garlic n Greens,4.3,103,3.2247417,51.2097262,8000,deliveroo,deliveroo_333187,Koolkerke
333196,Taste Of Asia Sushi,4.3,405,4.698154499999999,50.880025,3000,deliveroo,deliveroo_333196,Leuven
333400,Moana Pokébowls,4.5,500,3.2240232,51.210994,8000,deliveroo,deliveroo_333400,Koolkerke
334076,Ahi Pide Pizza,3.9,27,4.4267997,51.2211091,2060,deliveroo,deliveroo_334076,Antwerpen
334150,Tapasbar Saaz,0.0,0,3.2671389,50.8273084,8500,deliveroo,deliveroo_334150,Kortrijk
334162,Romain's Lunch Bar,4.2,169,3.2355286,51.2104832,8000,deliveroo,deliveroo_334162,Koolkerke
334163,BARNEY's BURGERS,3.9,500,3.2355286,51.2104832,8000,deliveroo,deliveroo_334163,Koolkerke
334165,BERTHA,4.1,195,3.2355286,51.2104832,8000,deliveroo,deliveroo_334165,Koolkerke
334167,De Brasserie,4.0,113,3.2355286,51.2104832,8000,deliveroo,deliveroo_334167,Koolkerke
334168,THE SWEET LAB.,3.9,116,3.2355286,51.2104832,8000,deliveroo,deliveroo_334168,Koolkerke
334169,THE BAGEL ARMY,4.2,80,3.2355286,51.2104832,8000,deliveroo,deliveroo_334169,Koolkerke
334170,PURE.,4.1,149,3.2355286,51.2104832,8000,deliveroo,deliveroo_334170,Koolkerke
334171,Hacked by De Vegetarische Slager,3.9,87,3.2355286,51.2104832,8000,deliveroo,deliveroo_334171,Koolkerke
334172,GLORIA's BAKED PASTA,4.0,370,3.2355286,51.2104832,8000,deliveroo,deliveroo_334172,Koolkerke
334173,CASPER Brugge,4.0,500,3.2355286,51.2104832,8000,deliveroo,deliveroo_334173,Koolkerke
334273,Frituur 3 Fonteinen,3.6,5,4.427773699999999,50.9279158,1800,deliveroo,deliveroo_334273,Vilvoorde
334288,Antwerp Fried Chicken Gent,3.7,121,3.7104297,51.0607257,9000,deliveroo,deliveroo_334288,Gent
334524,Brugge Kebab,4.1,500,3.2231422,51.2100923,8000,deliveroo,deliveroo_334524,Koolkerke
334608,Bella Italia (OST),0.0,0,2.9143346,51.2326156,8400,deliveroo,deliveroo_334608,Zandvoorde
334900,The Fontein,4.2,89,4.693774299999999,50.8817823,3000,deliveroo,deliveroo_334900,Leuven
334966,PastaSciutta ,4.4,294,3.1254334,50.9443863,8800,deliveroo,deliveroo_334966,Rumbeke
335098,McDonald's ,3.8,167,4.430832266807556,50.91351891375439,1830,deliveroo,deliveroo_335098,Machelen
