restaurant_id,menu_item_name,price,description,platform,restaurant_id_platform_unique
3a57429a-b764-5fd9-80a6-34a5ac356109,Pizza Siciliana,14.0,"Artisjokken, olijven, paprika en anjovis. Alle pizza's zijn op basis van tomatensaus en kaas.",ubereats,ubereats_3a57429a-b764-5fd9-80a6-34a5ac356109
3a57429a-b764-5fd9-80a6-34a5ac356109,Pizza Vesuvio,14.5,"Artisjokken, olijven, anjovis en tonijn. Alle pizza's zijn op basis van tomatensaus en kaas.",ubereats,ubereats_3a57429a-b764-5fd9-80a6-34a5ac356109
3a57429a-b764-5fd9-80a6-34a5ac356109,Pizza Pescatore,15.0,Zeevruchten en ajuin. Alle pizza's zijn op basis van tomatensaus en kaas.,ubereats,ubereats_3a57429a-b764-5fd9-80a6-34a5ac356109
3a57429a-b764-5fd9-80a6-34a5ac356109,Pizza Scampi,16.0,Scampi en ajuin. Alle pizza's zijn op basis van tomatensaus en kaas.,ubereats,ubereats_3a57429a-b764-5fd9-80a6-34a5ac356109
3a57429a-b764-5fd9-80a6-34a5ac356109,Pizza Salmone,16.0,Gerookte zalm en ei. Alle pizza's zijn op basis van tomatensaus en kaas.,ubereats,ubereats_3a57429a-b764-5fd9-80a6-34a5ac356109
3a57429a-b764-5fd9-80a6-34a5ac356109,Pizza Quattro Formaggi,15.0,4 soorten kaas. Alle pizza's zijn op basis van tomatensaus en kaas.,ubereats,ubereats_3a57429a-b764-5fd9-80a6-34a5ac356109
3a57429a-b764-5fd9-80a6-34a5ac356109,Pizza Margherita,11.0,Tomatensaus en kaas. Alle pizza's zijn op basis van tomatensaus en kaas.,ubereats,ubereats_3a57429a-b764-5fd9-80a6-34a5ac356109
3a57429a-b764-5fd9-80a6-34a5ac356109,Pizza Cipolla,11.5,Ajuin. Alle pizza's zijn op basis van tomatensaus en kaas.,ubereats,ubereats_3a57429a-b764-5fd9-80a6-34a5ac356109
3a57429a-b764-5fd9-80a6-34a5ac356109,Pizza Peperoni,12.0,Pikante paprika. Alle pizza's zijn op basis van tomatensaus en kaas.,ubereats,ubereats_3a57429a-b764-5fd9-80a6-34a5ac356109
3a57429a-b764-5fd9-80a6-34a5ac356109,Pizza Funghi,12.0,Champignons. Alle pizza's zijn op basis van tomatensaus en kaas.,ubereats,ubereats_3a57429a-b764-5fd9-80a6-34a5ac356109
3a57429a-b764-5fd9-80a6-34a5ac356109,Pizza Vegetaria,14.5,Groenten. Alle pizza's zijn op basis van tomatensaus en kaas.,ubereats,ubereats_3a57429a-b764-5fd9-80a6-34a5ac356109
3a57429a-b764-5fd9-80a6-34a5ac356109,Pizza Gorgonzola,14.5,Gorgonzola kaas. Alle pizza's zijn op basis van tomatensaus en kaas.,ubereats,ubereats_3a57429a-b764-5fd9-80a6-34a5ac356109
3a57429a-b764-5fd9-80a6-34a5ac356109,Kinderpizza,10.5,"Tomaten, kaas, ham, salami. Worden bezorgd met mix salade en saus friet, brood of rijst naar keuze.",ubereats,ubereats_3a57429a-b764-5fd9-80a6-34a5ac356109
9df49930-379a-40e4-97af-c9ca35fe8b84,Pizza quatro fromaggi,9.5,Met 4 soorten kaas.  Geserveerd met tomatensaus mozzarellakaas en italiaanse kruiden.,ubereats,ubereats_9df49930-379a-40e4-97af-c9ca35fe8b84
9df49930-379a-40e4-97af-c9ca35fe8b84,Pizza pepperoni,9.5,Met pikante salami en spaanse peper.  Geserveerd met tomatensaus mozzarellakaas en italiaanse kruiden.,ubereats,ubereats_9df49930-379a-40e4-97af-c9ca35fe8b84
9df49930-379a-40e4-97af-c9ca35fe8b84,Pizza Margherita,8.0,Met tomatensaus en kaas.  Geserveerd met tomatensaus mozzarellakaas en italiaanse kruiden.,ubereats,ubereats_9df49930-379a-40e4-97af-c9ca35fe8b84
9df49930-379a-40e4-97af-c9ca35fe8b84,Kinderpizza,6.0,Met tomatensaus en kaas.  Geserveerd met tomatensaus mozzarellakaas en italiaanse kruiden.,ubereats,ubereats_9df49930-379a-40e4-97af-c9ca35fe8b84
59e7059d-1327-5dd4-9a46-9dc9d8c4e528,Dr.Oetker Pizza Mozzarella,5.0,,ubereats,ubereats_59e7059d-1327-5dd4-9a46-9dc9d8c4e528
59e7059d-1327-5dd4-9a46-9dc9d8c4e528,Dr.Oetker Pizza HawaÃ¯ ,5.0,,ubereats,ubereats_59e7059d-1327-5dd4-9a46-9dc9d8c4e528
59e7059d-1327-5dd4-9a46-9dc9d8c4e528,Dr.Oetker Pizza Quattro Formaggi,5.0,,ubereats,ubereats_59e7059d-1327-5dd4-9a46-9dc9d8c4e528
59e7059d-1327-5dd4-9a46-9dc9d8c4e528,Dr.Oetker Pizza Speciale,5.0,,ubereats,ubereats_59e7059d-1327-5dd4-9a46-9dc9d8c4e528
59e7059d-1327-5dd4-9a46-9dc9d8c4e528,Dr.Oetker Pizza Pollo,5.0,,ubereats,ubereats_59e7059d-1327-5dd4-9a46-9dc9d8c4e528
69622dae-4b4f-441e-bd4d-2c02dbc19519,Pizza pepperoni lovers,19.5,"Pepperoniworst, mozzarella en tomatensaus/ Saucisson pepperoni, mozzarella, sauce tomate",ubereats,ubereats_69622dae-4b4f-441e-bd4d-2c02dbc19519
69622dae-4b4f-441e-bd4d-2c02dbc19519,Pizza forestiÃ¨re,20.5,"Ham, champignons, tomatenblokjes, mozzarella en tomatensaus/ Jambon, champignons, tomates en dÃ©s, mozzarella, sauce tomate",ubereats,ubereats_69622dae-4b4f-441e-bd4d-2c02dbc19519
69622dae-4b4f-441e-bd4d-2c02dbc19519,Pizza garden lovers,20.5,"Champignons, groene paprika, ui, tomatenblokjes, mozzarella en tomatensaus/ Champignons, poivrons verts, oignons, tomates en dÃ©s, mozzarella, sauce tomate",ubereats,ubereats_69622dae-4b4f-441e-bd4d-2c02dbc19519
69622dae-4b4f-441e-bd4d-2c02dbc19519,Pizza Hawaiian,22.5,"Ananas, ham, champignons, mozzarella en tomatensaus/ Ananas, jambon, champignons, mozzarella, sauce tomate",ubereats,ubereats_69622dae-4b4f-441e-bd4d-2c02dbc19519
69622dae-4b4f-441e-bd4d-2c02dbc19519,Pizza pepperoni lovers,14.5,"Pepperoniworst, mozzarella en tomatensaus/ Saucisson pepperoni, mozzarella, sauce tomate",ubereats,ubereats_69622dae-4b4f-441e-bd4d-2c02dbc19519
69622dae-4b4f-441e-bd4d-2c02dbc19519,Pizza Margherita,17.5,"Tomatensaus en mozzarella/ Sauce tomate, mozzarella ",ubereats,ubereats_69622dae-4b4f-441e-bd4d-2c02dbc19519
69622dae-4b4f-441e-bd4d-2c02dbc19519,Pizza cheesam,19.5,"Ham, extra mozzarella en tomatensaus/ Jambon, extra mozzarella, sauce tomate",ubereats,ubereats_69622dae-4b4f-441e-bd4d-2c02dbc19519
9df49930-379a-40e4-97af-c9ca35fe8b84,Pizza bolognese,9.5,"Met bolognesesaus, kaas en look.  Geserveerd met tomatensaus mozzarellakaas en italiaanse kruiden.",ubereats,ubereats_9df49930-379a-40e4-97af-c9ca35fe8b84
9df49930-379a-40e4-97af-c9ca35fe8b84,Pizza verde,9.5,Met diverse groenten.  Geserveerd met tomatensaus mozzarellakaas en italiaanse kruiden.,ubereats,ubereats_9df49930-379a-40e4-97af-c9ca35fe8b84
9df49930-379a-40e4-97af-c9ca35fe8b84,Pizza 4 seizoenen,11.0,"Met ham, salami, ui en champignons.  Geserveerd met tomatensaus mozzarellakaas en italiaanse kruiden.",ubereats,ubereats_9df49930-379a-40e4-97af-c9ca35fe8b84
9df49930-379a-40e4-97af-c9ca35fe8b84,Pizza HawaÃ¯,9.5,Met ham en ananas.  Geserveerd met tomatensaus mozzarellakaas en italiaanse kruiden.,ubereats,ubereats_9df49930-379a-40e4-97af-c9ca35fe8b84
9df49930-379a-40e4-97af-c9ca35fe8b84,Pizza Romana,9.5,Met ham en champignons.  Geserveerd met tomatensaus mozzarellakaas en italiaanse kruiden.,ubereats,ubereats_9df49930-379a-40e4-97af-c9ca35fe8b84
9df49930-379a-40e4-97af-c9ca35fe8b84,Pizza mozzarella,11.0,"Met salami, mozzarella kaas en artisjokken.  Geserveerd met tomatensaus mozzarellakaas en italiaanse kruiden.",ubereats,ubereats_9df49930-379a-40e4-97af-c9ca35fe8b84
9df49930-379a-40e4-97af-c9ca35fe8b84,Pizza calzone repieno,14.0,"Dubbelgevouwde pizza met ham, salami, uein, champignons, paprika, bolognesesaus en look.  Geserveerd met tomatensaus mozzarellakaas en italiaanse kruiden.",ubereats,ubereats_9df49930-379a-40e4-97af-c9ca35fe8b84
9df49930-379a-40e4-97af-c9ca35fe8b84,Pizza della casa,15.0,"Met ham, salami, uein, champignons, paprika en ei.  Geserveerd met tomatensaus mozzarellakaas en italiaanse kruiden.",ubereats,ubereats_9df49930-379a-40e4-97af-c9ca35fe8b84
9df49930-379a-40e4-97af-c9ca35fe8b84,Pizza salami,8.5,Met salami.  Geserveerd met tomatensaus mozzarellakaas en italiaanse kruiden.,ubereats,ubereats_9df49930-379a-40e4-97af-c9ca35fe8b84
9df49930-379a-40e4-97af-c9ca35fe8b84,Pizza shoarma,16.0,Met shoarmavlees.  Geserveerd met tomatensaus mozzarellakaas en italiaanse kruiden.,ubereats,ubereats_9df49930-379a-40e4-97af-c9ca35fe8b84
9df49930-379a-40e4-97af-c9ca35fe8b84,Pizza chicken,14.0,Met kip.  Geserveerd met tomatensaus mozzarellakaas en italiaanse kruiden.,ubereats,ubereats_9df49930-379a-40e4-97af-c9ca35fe8b84
9df49930-379a-40e4-97af-c9ca35fe8b84,Pizza gorgonzola,14.0,"Met gorgonzola, tonijn, uein, jaooertjes en olijven.  Geserveerd met tomatensaus mozzarellakaas en italiaanse kruiden.",ubereats,ubereats_9df49930-379a-40e4-97af-c9ca35fe8b84
9df49930-379a-40e4-97af-c9ca35fe8b84,Pizza veneziana,14.0,"Met scampi's, roomsaus en verse look.  Geserveerd met tomatensaus mozzarellakaas en italiaanse kruiden.",ubereats,ubereats_9df49930-379a-40e4-97af-c9ca35fe8b84
9df49930-379a-40e4-97af-c9ca35fe8b84,Pizza tonno,14.0,Met tonijon en uien.  Geserveerd met tomatensaus mozzarellakaas en italiaanse kruiden.,ubereats,ubereats_9df49930-379a-40e4-97af-c9ca35fe8b84
